date_pt,model,category,context_tier,region,sku_id,billed_jpy_pre_rounding
2026-07-02,claude-fable-5,cache_read,0-200k,global,DCEB-705D-9648,3531.173454
2026-07-02,claude-fable-5,cache_read,200k-1m,global,6ACF-9AFC-C8F0,1045.726031
2026-07-02,claude-fable-5,cache_write,0-200k,global,AE95-1AFE-15EA,7111.906072
2026-07-02,claude-fable-5,cache_write,200k-1m,global,BE37-051C-EC86,159.839042
2026-07-02,claude-fable-5,input,0-200k,global,BA1E-800F-7B1C,87.623364
2026-07-02,claude-fable-5,input,0-200k,us,528E-6958-5F2E,0.067558
2026-07-02,claude-fable-5,input,200k-1m,global,2251-7233-AFBE,7.449295
2026-07-02,claude-fable-5,output,0-200k,global,ABF1-A5D7-DCA1,2396.979550
2026-07-02,claude-fable-5,output,0-200k,us,C3ED-62BC-8CF7,10.720585
2026-07-02,claude-fable-5,output,200k-1m,global,5E26-94A5-DBF8,389.984961
2026-07-02,claude-opus-4-8,cache_read,0-200k,global,FAEC-86DC-BED3,927.236963
2026-07-02,claude-opus-4-8,cache_read,200k-1m,global,B585-EC94-FCB4,423.989245
2026-07-02,claude-opus-4-8,cache_write,0-200k,global,2811-3D73-8B5C,1373.600361
2026-07-02,claude-opus-4-8,cache_write,200k-1m,global,8644-8D0C-E7DD,945.728483
2026-07-02,claude-opus-4-8,input,0-200k,global,10A2-402E-6557,24.834485
2026-07-02,claude-opus-4-8,input,200k-1m,global,2572-CA43-AB99,0.274760
2026-07-02,claude-opus-4-8,output,0-200k,global,B02D-72C7-5E50,733.882550
2026-07-02,claude-opus-4-8,output,200k-1m,global,93C6-5E82-5D35,148.880867
2026-07-03,claude-fable-5,cache_read,0-200k,global,DCEB-705D-9648,5668.258883
2026-07-03,claude-fable-5,cache_read,200k-1m,global,6ACF-9AFC-C8F0,486.180928
2026-07-03,claude-fable-5,cache_write,0-200k,global,AE95-1AFE-15EA,11003.528981
2026-07-03,claude-fable-5,cache_write,200k-1m,global,BE37-051C-EC86,490.657132
2026-07-03,claude-fable-5,input,0-200k,global,BA1E-800F-7B1C,120.995685
2026-07-03,claude-fable-5,input,200k-1m,global,2251-7233-AFBE,6.380952
2026-07-03,claude-fable-5,output,0-200k,global,ABF1-A5D7-DCA1,3255.862878
2026-07-03,claude-fable-5,output,200k-1m,global,5E26-94A5-DBF8,348.043273
2026-07-03,claude-opus-4-8,cache_read,0-200k,global,FAEC-86DC-BED3,2939.571643
2026-07-03,claude-opus-4-8,cache_read,200k-1m,global,B585-EC94-FCB4,2535.663746
2026-07-03,claude-opus-4-8,cache_write,0-200k,global,2811-3D73-8B5C,3377.062433
2026-07-03,claude-opus-4-8,cache_write,200k-1m,global,8644-8D0C-E7DD,262.267873
2026-07-03,claude-opus-4-8,input,0-200k,global,10A2-402E-6557,61.541934
2026-07-03,claude-opus-4-8,input,200k-1m,global,2572-CA43-AB99,7.504243
2026-07-03,claude-opus-4-8,output,0-200k,global,B02D-72C7-5E50,3610.298418
2026-07-03,claude-opus-4-8,output,200k-1m,global,93C6-5E82-5D35,1374.208477
